well,log_type,alpha_levy,alpha_ci_low,alpha_ci_high,r2,n_dt,eps
349-U1431E,GR,1.960700400529661,1.5481395939700187,2.6730315462258574,0.9034746281261161,10,0.02236729744665427
349-U1433B,GR,2.562253742484695,2.138223247811623,3.196064450127968,0.9441408043237368,10,0.14534244954032777
353-U1445A,GR,2.358202822237064,1.806394129838476,3.3954194014480303,0.8768965477729835,10,0.1244247758221923
355-U1456C,GR,1.9484591056192153,1.6547207657195038,2.368991459446132,0.9547387831076372,10,0.11495872736184604
356-U1459C,GR,3.422098059917247,2.7255940795585367,4.596764931955171,0.9105466001310526,10,0.04374312984847881
356-U1461D,GR,3.5724002845093072,2.809666878932152,4.903556900274916,0.9001970702866698,10,0.05137254101487059
356-U1462A,GR,2.751566497537331,2.1139406692989775,3.939978222562521,0.8796061521530326,10,0.04328507239266098
356-U1463B,GR,1.6891253013737246,1.3946080736272308,2.1413393189158563,0.9371241307628311,10,0.055696937300179716
356-U1464C,GR,4.458839147829054,3.425370308130061,6.385369726671809,0.8795492028627949,10,0.04636924729772265
359-U1466B,GR,4.338298943650723,2.750054591189375,10.268939393235595,0.6658721461026454,10,0.02219972757677241
359-U1467C,GR,4.673133279383367,3.032268802318727,10.184096739503769,0.6941868105428951,10,0.020848688082471097
359-U1468B,GR,4.392517451145955,3.125584877532604,7.386634977746923,0.8018085492659127,10,0.017929865806013693
359-U1471E,GR,3.6320460885929124,2.9000096430683806,4.8584404516261115,0.9125255207125312,10,0.019360534091384916
367-U1499B,GR,2.8727001261768845,2.4674163200304453,3.4372898570576877,0.960994628386506,10,0.082363217884999
367-U1500B,GR,3.3712791976434135,2.6010575692998636,4.7895560050417485,0.8834568727555903,10,0.09961872265859775
368-U1501D,GR,3.0297335886910415,2.455406565081871,3.9547651123231367,0.9358976714869113,9,0.10004032841114621
368-U1502B,GR,3.0269312289899375,2.5834033946861505,3.654317361826801,0.9575396192901496,10,0.06343955410939393
368-U1505C,GR,2.1503018514767906,1.6682731220502067,3.024073964370442,0.8884169563254318,10,0.07960610838894362
369-U1512A,GR,2.8074534935927846,2.2004527587342677,3.876909183602821,0.8972806078740049,10,0.11324858233425834
369-U1513D,GR,3.2481258535636273,2.641845635331544,4.215559488857898,0.9381448879051825,9,0.09014148738945821
375-U1520C,GR,4.18854781750842,3.5452555029728585,5.117043613321332,0.9528050510753817,10,0.1260171233790104
392-U1579D,GR,3.1879903846635567,2.63972977213602,4.023694584745919,0.9390579090555317,10,0.046461594749834086
392-U1580A,GR,2.4778767746647543,2.257890973760334,2.745356201125599,0.9859202489835271,10,0.04460527936185575
