well,dt,std,variance,skewness,excess_kurtosis,msd,msd_exp,r2,n_samples
349-U1431E,1,0.4473588368473772,0.20012992890543826,0.1338556839997011,3.525506915745293,0.20011839802684264,,,17356
349-U1431E,3,1.307757597365022,1.7102299334659348,0.14174677550916412,3.6468919055425317,1.710131383855847,1.9528420715967254,1.0,17354
349-U1431E,8,3.2091612787446864,10.298716112994232,0.1727525788908462,4.011247105496464,10.2981224928367,1.896278072206789,0.9996561118254503,17349
349-U1431E,10,3.8730087496306207,15.000196774715343,0.18865747548557968,4.184000259121527,14.99933206054144,1.8768061205042341,0.9995705163719635,17347
349-U1431E,20,6.420084563416032,41.21748580141283,0.2878134975336312,4.6573422107324545,41.21510837245732,1.7993170628753332,0.9968086177766159,17337
349-U1431E,50,10.159762470781034,103.22077346269074,0.22338730830676523,3.3045229375245384,103.21480935721533,1.6270162659079328,0.983163125372023,17307
349-U1431E,100,11.863596321993496,140.7449176912176,0.15749339903594478,2.8201098434791136,140.73676187516085,1.4477302262928813,0.9614328110619931,17257
349-U1431E,250,13.258886112537036,175.7980609452275,0.21760167898140376,2.006751526729455,175.78778456357406,1.2425132844552127,0.9224526376848652,17107
349-U1431E,500,15.605959218943749,243.54596314333537,0.26221102019233555,1.9759601825068245,243.53151537901533,1.1049555004356897,0.9015117995383987,16857
349-U1431E,1000,17.291421894548453,298.9932711352696,0.2433389895731931,1.4985818352453286,298.9749919110149,0.9955905246234096,0.8841136396374348,16357
349-U1433B,1,2.907121307917163,8.451354298945995,0.17921998216732987,3.514486608751292,8.449771055353088,,,5338
349-U1433B,3,7.533287554674827,56.750421381418626,0.17124183839419208,3.032856367459157,56.73978599510278,1.7334016107222858,1.0,5336
349-U1433B,8,13.578774817432963,184.3831255425516,0.1049727284554731,1.563568525616832,184.34853857471396,1.487460905289229,0.989540909838316,5331
349-U1433B,10,14.822146546032446,219.69602823206156,0.0728379932030464,1.3085727442620856,219.65480173023536,1.4162896705066652,0.9878425656859119,5329
349-U1433B,20,17.517638319575962,306.86765229547615,-0.03510934303654222,0.5630402651254998,306.809959561448,1.2317933994748227,0.9567416558932774,5319
349-U1433B,50,19.187887798838617,368.17503818081985,0.10650020752261112,0.7721374372174044,368.1054267158585,0.97526618271563,0.8826021956023619,5289
349-U1433B,100,20.288294851180282,411.6149079684283,-0.08494908431737044,0.8731550473644711,411.53634051128614,0.8027167816673103,0.8306566148695118,5239
349-U1433B,250,21.88567323208637,478.9826928216618,0.06026093741047617,0.05879399892903292,478.8885716401287,0.6604986219821448,0.7831385984637378,5089
349-U1433B,500,24.279276216796763,589.483253611513,-0.02117393344660893,-0.23459154334480692,589.3614343815871,0.5759892218220779,0.7679068271734527,4839
349-U1433B,1000,27.40160519243539,750.8479671221021,0.11314921163772841,-0.506304880252844,750.6749208056417,0.5223677862107919,0.7709406574183397,4339
353-U1445A,1,2.488947108048406,6.194857706662523,-0.1878978522837727,1.8184312087794083,6.192609935361122,,,2756
353-U1445A,3,5.680676342624217,32.27008370965045,-0.15286250925885722,2.384044816340296,32.25836617743925,1.5022777441764399,1.0,2754
353-U1445A,8,9.014083145164605,81.25369494794062,-0.02487076273364572,2.026933740179139,81.22413740157907,1.2430344389536279,0.9834614824970298,2749
353-U1445A,10,9.648946971515807,93.10217765912407,0.1024049573913536,1.7727805513012438,93.06828534836355,1.1747213589287426,0.981762942018829,2747
353-U1445A,20,10.384631125191625,107.84056360629867,0.7217876859204297,2.734246582044488,107.80116259657771,0.9866859297784186,0.9317994465911266,2737
353-U1445A,50,11.50248308914605,132.30711721609086,1.0069943364017082,3.2189875384224758,132.25824129543474,0.7766059351669509,0.8586928217731224,2707
353-U1445A,100,13.890761191079655,192.95324646760466,0.839470672100712,1.5333115841913543,192.88062575007825,0.6788482946559959,0.8532296912275172,2657
353-U1445A,250,17.537503682498492,307.5640354136482,0.43937473303558944,-0.33144347003889196,307.44135330937473,0.6184890220786643,0.8693264016057312,2507
353-U1445A,500,21.481334969131165,461.4477520560174,-0.03698264642148099,-0.994471033493249,461.2433002385358,0.5900756223241935,0.8927827879025142,2257
