well,well_id,function,expression,r2,x_min,x_max,y_min,y_max,y_at_x_min,y_at_x_max
368-U1501D,16,power,y = 12.63*x^-1.41,0.34,0.57,1.18,5.82,35.88,35.88,5.82
368-U1502B,17,linear,y = -0.92*x + 3.97,0.13,0.4,1.64,1.9,5.97,1.9,2.32
368-U1502B,17,exponential,y = 4.07*exp(-0.30*x),0.12,0.4,1.64,1.9,5.97,1.9,2.32
368-U1502B,17,logarithmic,y = -0.77*ln(x) + 2.97,0.12,0.4,1.64,1.9,5.97,1.9,2.32
368-U1502B,17,power,y = 2.95*x^-0.24,0.12,0.4,1.64,1.9,5.97,1.9,2.32
368-U1505C,18,linear,y = 0.99*x + 2.07,0.2,0.69,1.46,2.37,3.95,2.39,3.95
368-U1505C,18,exponential,y = 2.18*exp(0.34*x),0.21,0.69,1.46,2.37,3.95,2.39,3.95
368-U1505C,18,logarithmic,y = 0.91*ln(x) + 3.09,0.17,0.69,1.46,2.37,3.95,2.39,3.95
368-U1505C,18,power,y = 3.08*x^0.31,0.17,0.69,1.46,2.37,3.95,2.39,3.95
369-U1512A,19,linear,y = -2.29*x + 7.74,0.04,0.61,1.31,2.51,13.24,2.51,3.5
369-U1512A,19,exponential,y = 8.02*exp(-0.39*x),0.04,0.61,1.31,2.51,13.24,2.51,3.5
369-U1512A,19,logarithmic,y = -1.92*ln(x) + 5.39,0.04,0.61,1.31,2.51,13.24,2.51,3.5
369-U1512A,19,power,y = 5.39*x^-0.33,0.03,0.61,1.31,2.51,13.24,2.51,3.5
369-U1513D,20,linear,y = 1.16*x + 4.11,0.0,0.79,1.41,0.56,13.71,1.71,2.13
369-U1513D,20,exponential,y = 4.57*exp(0.14*x),0.0,0.79,1.41,0.56,13.71,1.71,2.13
369-U1513D,20,logarithmic,y = 2.82*ln(x) + 5.35,0.01,0.79,1.41,0.56,13.71,1.71,2.13
369-U1513D,20,power,y = 5.30*x^0.33,0.01,0.79,1.41,0.56,13.71,1.71,2.13
375-U1520C,21,logarithmic,y = 6.28*ln(x) + 9.19,0.28,0.57,1.43,1.51,11.25,2.0,7.86
392-U1579D,22,linear,y = -0.07*x + 3.93,0.0,0.54,1.46,1.66,5.49,2.79,3.1
392-U1579D,22,exponential,y = 3.93*exp(-0.02*x),0.0,0.54,1.46,1.66,5.49,2.79,3.1
392-U1579D,22,logarithmic,y = 0.04*ln(x) + 3.87,0.0,0.54,1.46,1.66,5.49,2.79,3.1
392-U1579D,22,power,y = 3.87*x^0.01,0.0,0.54,1.46,1.66,5.49,2.79,3.1
392-U1580A,23,linear,y = 0.68*x + 3.02,0.03,0.6,1.52,1.71,5.64,3.86,3.08
392-U1580A,23,exponential,y = 3.13*exp(0.16*x),0.03,0.6,1.52,1.71,5.64,3.86,3.08
392-U1580A,23,logarithmic,y = 0.81*ln(x) + 3.75,0.05,0.6,1.52,1.71,5.64,3.86,3.08
392-U1580A,23,power,y = 3.73*x^0.20,0.04,0.6,1.52,1.71,5.64,3.86,3.08
