well,well_id,function,expression,r2,x_min,x_max,y_min,y_max,y_at_x_min,y_at_x_max
369-U1513D,20,exponential,y = 0.77*exp(0.13*x),0.02,0.79,1.41,0.76,1.22,0.76,0.92
369-U1513D,20,logarithmic,y = 0.13*ln(x) + 0.88,0.02,0.79,1.41,0.76,1.22,0.76,0.92
369-U1513D,20,power,y = 0.88*x^0.14,0.02,0.79,1.41,0.76,1.22,0.76,0.92
375-U1520C,21,linear,y = 0.18*x + 0.79,0.25,0.57,1.43,0.82,1.16,0.91,1.16
375-U1520C,21,exponential,y = 0.79*exp(0.20*x),0.27,0.57,1.43,0.82,1.16,0.91,1.16
392-U1579D,22,logarithmic,y = -0.28*ln(x) + 0.81,0.33,0.54,1.46,0.7,1.17,1.17,0.84
392-U1579D,22,power,y = 0.79*x^-0.37,0.38,0.54,1.46,0.7,1.17,1.17,0.84
392-U1580A,23,linear,y = -0.13*x + 0.92,0.05,0.6,1.52,0.67,1.28,0.72,0.8
392-U1580A,23,exponential,y = 0.94*exp(-0.18*x),0.05,0.6,1.52,0.67,1.28,0.72,0.8
392-U1580A,23,logarithmic,y = -0.15*ln(x) + 0.78,0.07,0.6,1.52,0.67,1.28,0.72,0.8
392-U1580A,23,power,y = 0.78*x^-0.20,0.08,0.6,1.52,0.67,1.28,0.72,0.8
