depth,delta_GR
7.6651,-0.439558
7.8175,-0.783317
7.9699,-0.9645661
8.1223,0.038716000000000195
8.2747,0.04269099999999981
8.4271,-0.158512
8.5795,-0.46727700000000016
8.7319,-0.3975550000000001
8.8843,0.05346099999999998
9.0367,0.21333950000000002
9.1891,1.32153
9.3415,1.4440183000000002
9.4939,1.2045972
9.6463,0.8032086
9.7987,0.7132357
9.9511,0.4615659999999999
10.1035,0.4592634000000001
10.2559,0.6017112
10.4083,0.9419192999999999
10.5607,1.22630191
10.7131,0.7534129999999999
10.8655,0.19715900000000003
11.0179,-0.9303144
11.1703,-1.2447729
11.3227,-1.1306658
11.4751,-0.7202254
11.6275,-0.6609335000000001
11.7799,-0.9953803999999999
11.9323,0.4077611
12.0847,1.0419642
12.2371,1.2365437000000001
12.3895,1.3924269999999999
12.5419,1.5688179000000002
12.6943,1.3650039999999999
12.8467,1.627972
12.9991,1.9129439999999998
13.1515,1.9674063999999998
13.3039,2.3846751
13.4563,2.030631
13.6087,1.6779441
13.7611,2.2949901
13.9135,1.4249370000000001
14.0659,1.3499379999999999
14.2183,1.3673859999999998
14.3707,0.7143050000000002
14.5231,0.4456260000000001
14.6755,-0.2623819999999999
14.8279,-0.198569
14.9803,-0.709416
15.1327,-0.11446800000000001
15.2851,0.3608030000000001
15.4375,0.7007029999999999
15.5899,0.7831201
15.7423,-0.20513870000000012
15.8947,-0.22059929999999994
16.0471,-0.15375300000000003
16.1995,-0.18488579999999988
16.3519,-0.5464098999999999
16.5043,-0.49915890000000007
16.6567,-0.46702679999999996
16.8091,-0.9726677
16.9615,-0.9115280000000001
17.1139,-0.23206700000000002
17.2663,1.1105319999999999
17.4187,1.7950510000000002
17.5711,0.8630960000000001
17.7235,0.02243700000000004
17.8759,0.036183000000000076
18.0283,0.2992030000000001
18.1807,0.12734699999999988
18.3331,1.0087139999999999
18.4855,1.3045156
18.6379,2.2241244
18.7903,1.8484289
18.9427,1.6930118
19.0951,1.0197864
19.2475,0.8836895
19.3999,0.3967054000000001
19.5523,0.759279
19.7047,0.9699389999999999
19.8571,1.0272359999999998
20.0095,0.812028
20.1619,0.33938199999999963
20.3143,-0.5145919999999997
20.4667,-1.385524
20.6191,-1.7447099999999998
20.7715,-1.8410422
20.9239,-1.9778238999999997
21.0763,-1.7410243
21.2287,-0.813669
21.3811,-0.3556250000000003
21.5335,1.7044149999999996
21.6859,1.7920870000000004
21.8383,1.1223999999999998
21.9907,1.515279
22.1431,1.384983
22.2955,2.198104
22.4479,2.257096
22.6003,2.79725
22.7527,2.831202
22.9051,3.64502
23.0575,4.203156
23.2099,4.006889999999999
23.3623,3.8213006999999997
23.5147,3.8858983000000005
23.6671,3.4630639999999997
23.8195,3.9959968
23.9719,4.7346159000000005
24.1243,4.6302389
24.2767,5.123550799999999
24.4291,5.2894457
24.5815,3.976513
24.7339,2.559374
24.8863,1.618509
25.0387,1.3167279999999995
25.1911,2.4728609999999995
25.3435,3.558065
25.4959,3.448384
25.6483,3.154846
25.8007,3.404378
25.9531,2.607371
26.1055,2.6083990000000004
26.2579,1.9136699999999998
26.4103,2.8890720000000005
26.5627,2.354291
26.7151,2.255319
26.8675,1.941385
27.0199,2.4552829999999997
27.1723,2.1205920000000003
27.3247,1.9320249999999999
27.4771,1.408306
27.6295,2.002378
27.7819,2.010572
27.9343,3.1214759999999995
28.0867,3.541621
28.2391,4.2922530000000005
28.3915,4.648527199999999
28.5439,4.9855169
28.6963,4.2220073
28.8487,3.688917
29.0011,2.455631
29.1535,1.1512600000000006
29.3059,0.2205849999999998
29.4583,1.1002640000000001
29.6107,1.2501109999999995
29.7631,1.3522469999999998
29.9155,0.5985269999999998
30.0679,0.8091099999999996
30.2203,0.8583140000000005
30.3727,0.9459029999999999
30.5251,0.24233999999999956
30.6775,-0.4102049999999995
30.8299,0.5965600000000002
30.9823,1.7629270000000004
31.1347,1.1979729999999993
31.2871,0.8719720000000004
31.4395,-1.4579900000000001
31.5919,-1.5906260000000003
31.7443,-1.2889149999999994
31.8967,-0.7847729999999995
32.0491,-1.0065179999999998
32.2015,0.8198759999999998
32.3539,2.650831
32.5063,2.4010680000000004
32.6587,1.5819650000000003
32.8111,1.001646
32.9635,0.9089409999999996
33.1159,0.8440919999999998
33.2683,0.780608
33.4207,0.27691
33.5731,-0.42917899999999953
33.7255,-0.7117830000000005
33.8779,-0.047115999999999936
34.0303,-0.081569
34.1827,0.8674600000000003
34.3351,1.2137140000000004
34.4875,1.7351820000000004
34.6399,1.6793080000000002
34.7923,0.7435240000000003
34.9447,0.6739930000000003
35.0971,1.2694110000000003
35.2495,1.931819
35.4019,2.6236580000000007
35.5543,1.6088719999999999
35.7067,0.2214230000000006
35.8591,-0.7821020000000001
