depth,delta_GR
1.524,-0.25680000000000003
1.6764,-0.1628
1.8288,-0.3385
1.9812,-0.5514
2.1336,-0.2289
2.286,-0.442
2.4384,-0.2582
2.5908,-0.1719
2.7432,-0.3775
2.8956,0.0034999999999999996
3.048,0.1104
3.2004,0.1049
3.3528,0.2111
3.5052,0.5661
3.6576,0.4031
3.81,0.5642
3.9624,0.5377
4.1148,-0.0642
4.2672,-0.025800000000000003
4.4196,-0.2194
4.572,-0.1821
4.7244,-0.066
4.8768,-0.0236
5.0292,-0.1434
5.1816,-0.2914
5.334,-0.5530999999999999
5.4864,-1.1285
5.6388,-0.3687
5.7912,0.013300000000000006
5.9436,0.1346
6.096,0.2144
6.2484,-0.0383
6.4008,-0.1286
6.5532,-0.3147
6.7056,-0.1467
6.858,0.0733
7.0104,0.7901
7.1628,0.5473
7.3152,0.1942
7.4676,0.045899999999999996
7.62,-0.0344
7.7724,0.3896
7.9248,0.3648
8.0772,0.42889999999999995
8.2296,0.3033
8.382,0.3433
8.5344,0.0542
8.6868,-0.1074
8.8392,-0.12440000000000001
8.9916,-0.11130000000000001
9.144,-0.10010000000000001
9.2964,-0.5299
9.4488,-0.8876
9.6012,-0.6538999999999999
9.7536,-0.43289999999999995
9.906,-0.5192
10.0584,-0.38649999999999995
10.2108,-0.2337
10.3632,-0.2656
10.5156,-0.22210000000000002
10.668,0.04310000000000001
10.8204,0.22049999999999997
10.9728,0.8039999999999999
11.1252,0.6022
11.2776,0.3852
11.43,0.485
11.5824,0.4689
11.7348,0.3787
11.8872,0.4172
12.0396,0.4027
12.192,0.249
12.3444,0.0948
12.4968,-0.09820000000000001
12.6492,-0.1594
12.8016,-0.015399999999999997
12.954,-0.10230000000000002
13.1064,-0.14379999999999998
13.2588,-0.2004
13.4112,-0.0647
13.5636,0.007499999999999993
13.716,0.026000000000000023
13.8684,0.10079999999999999
14.0208,0.1364
14.1732,0.4513
14.3256,0.4945
14.478,0.3831
14.6304,0.175
14.7828,0.2288
14.9352,0.2221
15.0876,0.11180000000000001
15.24,-0.1768
15.3924,-0.2122
15.5448,-0.3067
15.6972,-0.5533
15.8496,-1.0845
16.002,-1.1822
16.1544,-0.9012
16.3068,-0.6698999999999999
16.4592,-0.8976999999999999
16.6116,-0.5216000000000001
16.764,-0.3952
16.9164,-0.13629999999999998
17.0688,0.22920000000000001
17.2212,0.7626999999999999
17.3736,1.1723
17.526,1.7984
17.6784,1.6723999999999999
17.8308,1.4424000000000001
17.9832,1.3820000000000001
18.1356,1.2599
18.288,1.1272
18.4404,1.0367
18.5928,0.4799
18.7452,-0.2652
18.8976,-0.7168
19.05,-1.1791
19.2024,-1.2431999999999999
19.3548,-1.189
19.5072,-1.0911
19.6596,-1.2399
19.812,-1.0845
19.9644,-1.1352
20.1168,-0.8654
20.2692,-0.8678
20.4216,-0.4438
20.574,-0.11069999999999999
20.7264,0.1104
20.8788,0.22779999999999997
21.0312,0.246
21.1836,0.16319999999999998
21.336,0.18039999999999998
21.4884,0.3191
21.6408,0.30060000000000003
21.7932,0.5737
21.9456,0.808
22.098,0.8752
22.2504,0.3772
22.4028,0.169
22.5552,0.1958
22.7076,0.47940000000000005
22.86,0.7148
23.0124,0.6896
23.1648,0.7624
23.3172,0.663
23.4696,0.5444
23.622,-0.06840000000000002
23.7744,0.21960000000000002
23.9268,0.2811
24.0792,0.3449
24.2316,0.0907
24.384,-0.34129999999999994
24.5364,-0.5523
24.6888,-0.7884
24.8412,-0.8903
24.9936,-0.9069
25.146,-0.6999
25.2984,-0.627
25.4508,-0.5645
25.6032,-0.5269
25.7556,-0.41150000000000003
25.908,-0.1866
26.0604,-0.03160000000000002
26.2128,0.24530000000000002
26.3652,0.5119
26.5176,0.346
26.67,0.1413
26.8224,0.08329999999999999
26.9748,0.1444
27.1272,0.1237
27.2796,0.3546
27.432,0.3286
27.5844,0.2783
27.7368,0.10809999999999997
27.8892,-0.010199999999999987
28.0416,0.0023000000000000242
28.194,0.3337
28.3464,0.4865
28.4988,0.6205
28.6512,0.5383
28.8036,0.1069
28.956,-0.26389999999999997
29.1084,-0.003500000000000003
29.2608,0.03290000000000004
29.4132,0.08150000000000002
29.5656,0.06659999999999999
29.718,-0.06630000000000003
29.8704,-0.19369999999999998
30.0228,-0.10250000000000004
30.1752,-0.1043
30.3276,-0.08290000000000003
30.48,0.21789999999999998
30.6324,0.053800000000000014
30.7848,-0.14140000000000003
30.9372,-0.2152
31.0896,-0.3044
31.242,-0.3313
31.3944,-0.067
31.5468,-0.2128
31.6992,-0.12059999999999998
31.8516,0.010700000000000043
32.004,0.11720000000000003
32.1564,-0.02939999999999998
32.3088,0.16999999999999998
32.4612,0.09259999999999999
32.6136,0.1881
32.766,0.38130000000000003
32.9184,-0.0628
33.0708,-0.366
33.2232,-0.3751
33.3756,-0.4067
33.528,-0.543
33.6804,-0.6798
33.8328,-0.6786
33.9852,-0.5825
34.1376,-0.4655
34.29,-0.49
34.4424,-0.37050000000000005
34.5948,0.048799999999999996
34.7472,0.0789
34.8996,-0.1033
35.052,-0.07740000000000001
35.2044,0.1469
35.3568,0.35509999999999997
35.5092,0.4254
35.6616,0.4918
35.814,0.3256
35.9664,0.3894
36.1188,0.27690000000000003
36.2712,0.5768
36.4236,0.5533
36.576,0.7192999999999999
36.7284,0.8240000000000001
36.8808,0.605
37.0332,0.48340000000000005
37.1856,0.3328
37.338,0.3369
37.4904,0.3362
37.6428,0.2703
37.7952,-0.019399999999999973
37.9476,-0.4578
38.1,-0.47019999999999995
38.2524,-0.5628000000000001
38.4048,-0.8261000000000001
38.5572,-0.7616
38.7096,-0.6193
38.862,-0.677
39.0144,-0.6278
39.1668,-0.5241
39.3192,-0.596
39.4716,0.0533
39.624,0.2047
39.7764,0.1308
39.9288,0.5197
40.0812,0.6934
40.2336,0.7195
40.386,0.8324
40.5384,0.8589
40.6908,0.6206
40.8432,0.7132
40.9956,0.6631
41.148,0.2409
41.3004,-0.01629999999999998
41.4528,0.26749999999999996
41.6052,0.08760000000000001
41.7576,0.07240000000000002
41.91,-0.0032999999999999696
42.0624,-0.261
42.2148,-0.2901
42.3672,-0.21119999999999994
42.5196,-0.4055
42.672,-0.26280000000000003
42.8244,0.41769999999999996
42.9768,-0.05999999999999994
43.1292,-0.24170000000000003
43.2816,-0.41250000000000003
43.434,-0.271
43.5864,-0.21630000000000002
43.7388,-0.09210000000000002
43.8912,-0.2713
44.0436,-0.1669
44.196,-0.10189999999999999
44.3484,-0.5236
