well,dt,cutoff_init,cutoff,cutoff_ci_95_l,cutoff_ci_95_r,alpha,alpha_ci_lower,alpha_ci_upper,gamma,gamma_std,k_gtlf,c_gtlf
349-U1431E,1,0.6598181954367309,0.7127411131957186,0.6568398494156623,0.754667061030761,0.7981909547738691,0.7730653266331656,0.8233165829145727,0.26065289675825404,0.07678266253532057,0.6691817002201625,1.2356153022848964
349-U1431E,3,1.8518399562060597,2.3790999437369518,2.2363539471127347,2.47426394148643,0.7820100502512561,0.7568844221105526,0.8071356783919597,0.20620396804882443,0.08727215906508919,1.9640275627703172,1.1882386278900645
349-U1431E,8,4.620802472765002,6.281403361414925,5.862643137320596,6.560576844144476,0.789145728643216,0.7630150753768843,0.8152763819095475,0.15610916366073688,0.09174322989461951,5.095061810707299,1.147828882912006
349-U1431E,10,5.553145604427284,7.548807306018339,7.045553485617116,7.884309852952487,0.7801005025125627,0.7549748743718592,0.8052261306532662,0.14283459831705136,0.09294911259391342,6.392190455817309,1.1433558667530994
349-U1431E,20,9.395585435773198,13.623598881871136,13.055948928459838,14.191248835282433,0.8001005025125627,0.7769849246231154,0.8232160804020099,0.10462533553987646,0.07919321598918352,11.100412259483415,1.1150609071823099
349-U1431E,50,16.275651557173397,25.074675680270264,23.599694757901425,26.057996295182825,0.7660301507537686,0.746934673366834,0.7851256281407033,0.05868253294240306,0.09287601251855153,13.408945410516566,1.1124759346750546
349-U1431E,100,26.499205893260708,37.62335170053578,36.022358011151276,38.423848545228026,0.7570854271356782,0.7389949748743716,0.7751758793969847,0.030773657158400972,0.0920202943418781,8.53685459159746,1.0998787457307364
349-U1431E,250,36.99979112059391,46.58376479280331,45.63307571539916,46.58376479280331,0.8001005025125626,0.7789949748743716,0.8212060301507536,0.014626052869483245,0.06173344433326051,2.1266505180955564,1.094213837543368
349-U1431E,500,39.935728023966305,49.25406456289178,49.25406456289178,50.280190907952026,0.8520603015075376,0.8289447236180904,0.8751758793969848,0.009277555489439716,0.05576868747636233,6.170378511232027,1.0889942477759602
349-U1431E,1000,44.56392779849605,56.10722298518982,56.10722298518982,57.252268352234516,0.8690452261306532,0.8429145728643215,0.8951758793969848,0.005505023366952906,0.04347975963226599,3.7076345750899358,1.0916637708371608
349-U1433B,1,4.958040614462342,7.338933034532278,6.44028817316098,8.087803752341696,0.962110552763819,0.9470351758793969,0.9771859296482411,1.1815665855328283,0.03825867642422243,3.593619364393369,1.08826548474324
