well,dt,cutoff_init,cutoff,cutoff_ci_95_l,cutoff_ci_95_r,alpha,alpha_ci_lower,alpha_ci_upper,gamma,gamma_std,k_gtlf,c_gtlf,std,variance,skewness,excess_kurtosis,msd,msd_exp,r2,n_samples
349-U1431E,1,0.6598181954367309,0.7127411131957186,0.6568398494156623,0.754667061030761,0.7981909547738691,0.7730653266331656,0.8233165829145727,0.260652896758254,0.0767826625353205,0.6691817002201625,1.2356153022848964,0.4473588368473772,0.2001299289054382,0.1338556839997011,3.525506915745293,0.2001183980268426,,,17356
349-U1431E,3,1.85183995620606,2.379099943736952,2.2363539471127347,2.47426394148643,0.7820100502512561,0.7568844221105526,0.8071356783919597,0.2062039680488244,0.0872721590650891,1.9640275627703168,1.1882386278900643,1.307757597365022,1.7102299334659348,0.1417467755091641,3.646891905542532,1.710131383855847,1.9528420715967252,1.0,17354
349-U1431E,8,4.620802472765002,6.281403361414925,5.862643137320596,6.560576844144476,0.789145728643216,0.7630150753768843,0.8152763819095475,0.1561091636607368,0.0917432298946195,5.095061810707299,1.147828882912006,3.2091612787446864,10.298716112994232,0.1727525788908462,4.011247105496464,10.2981224928367,1.896278072206789,0.9996561118254504,17349
349-U1431E,10,5.553145604427284,7.548807306018339,7.045553485617116,7.884309852952487,0.7801005025125627,0.7549748743718592,0.8052261306532662,0.1428345983170513,0.0929491125939134,6.392190455817309,1.1433558667530994,3.8730087496306207,15.000196774715343,0.1886574754855796,4.184000259121527,14.99933206054144,1.876806120504234,0.9995705163719636,17347
349-U1431E,20,9.395585435773198,13.623598881871136,13.055948928459838,14.191248835282432,0.8001005025125627,0.7769849246231154,0.8232160804020099,0.1046253355398764,0.0791932159891835,11.100412259483416,1.11506090718231,6.420084563416032,41.21748580141283,0.2878134975336312,4.657342210732455,41.21510837245732,1.7993170628753332,0.996808617776616,17337
349-U1431E,50,16.275651557173397,25.074675680270264,23.599694757901425,26.057996295182825,0.7660301507537686,0.746934673366834,0.7851256281407033,0.058682532942403,0.0928760125185515,13.408945410516566,1.1124759346750546,10.159762470781034,103.22077346269074,0.2233873083067652,3.3045229375245384,103.21480935721532,1.6270162659079328,0.983163125372023,17307
349-U1431E,100,26.499205893260708,37.62335170053578,36.02235801115128,38.423848545228026,0.7570854271356782,0.7389949748743716,0.7751758793969847,0.0307736571584009,0.0920202943418781,8.53685459159746,1.0998787457307364,11.863596321993496,140.7449176912176,0.1574933990359447,2.8201098434791136,140.73676187516085,1.4477302262928813,0.9614328110619932,17257
349-U1431E,250,36.99979112059391,46.58376479280331,45.63307571539916,46.58376479280331,0.8001005025125626,0.7789949748743716,0.8212060301507536,0.0146260528694832,0.0617334443332605,2.1266505180955564,1.094213837543368,13.258886112537036,175.7980609452275,0.2176016789814037,2.006751526729455,175.78778456357406,1.2425132844552127,0.9224526376848652,17107
349-U1431E,500,39.93572802396631,49.25406456289178,49.25406456289178,50.280190907952026,0.8520603015075376,0.8289447236180904,0.8751758793969848,0.0092775554894397,0.0557686874763623,6.170378511232027,1.0889942477759602,15.605959218943749,243.54596314333537,0.2622110201923355,1.9759601825068245,243.53151537901533,1.1049555004356897,0.9015117995383988,16857
349-U1431E,1000,44.56392779849605,56.10722298518982,56.10722298518982,57.25226835223452,0.8690452261306532,0.8429145728643215,0.8951758793969848,0.0055050233669529,0.0434797596322659,3.707634575089936,1.0916637708371608,17.291421894548453,298.9932711352696,0.2433389895731931,1.4985818352453286,298.9749919110149,0.9955905246234096,0.8841136396374348,16357
349-U1433B,1,4.958040614462342,7.338933034532278,6.44028817316098,8.087803752341696,0.962110552763819,0.9470351758793968,0.9771859296482412,1.1815665855328283,0.0382586764242224,3.593619364393369,1.08826548474324,2.907121307917163,8.451354298945995,0.1792199821673298,3.514486608751292,8.449771055353088,,,5338
349-U1433B,3,13.237095427286354,19.59365896059782,17.994176596467387,21.99288250679347,0.9051256281407034,0.8870351758793968,0.92321608040201,0.8994365565413541,0.0491660901862693,8.80263060296648,1.090135850056875,7.533287554674827,56.75042138141863,0.171241838394192,3.032856367459157,56.73978599510278,1.7334016107222858,1.0,5336
349-U1433B,8,27.890802738698174,38.75659463898268,35.38645597472331,41.2841986371772,0.7519597989949747,0.7288442211055275,0.7750753768844219,0.4716259623530394,0.0853481478191669,8.44795086092513,1.1172347596982766,13.578774817432963,184.3831255425516,0.1049727284554731,1.563568525616832,184.348538574714,1.487460905289229,0.989540909838316,5331
349-U1433B,10,29.73416984424845,40.41988713202524,37.72522798989022,44.01276598820526,0.7520603015075376,0.7289447236180903,0.7751758793969847,0.4120228721202287,0.0860592176407957,9.536130742795706,1.1204394740445454,14.822146546032446,219.6960282320616,0.0728379932030464,1.3085727442620856,219.65480173023536,1.4162896705066652,0.987842565685912,5329
349-U1433B,20,35.64446764429404,49.53095816405026,46.30067828378611,51.68447808422636,0.7350753768844219,0.7149748743718591,0.7551758793969847,0.2413466870967771,0.0945231185188314,4.814105560713671,1.132393550251344,17.517638319575962,306.86765229547615,-0.0351093430365422,0.5630402651254998,306.809959561448,1.2317933994748227,0.9567416558932774,5319
349-U1433B,50,38.28395655133296,49.18424973608748,46.23319475192224,54.10267470969623,0.7601005025125627,0.7410050251256279,0.7791959798994973,0.1078523920674418,0.0914715030619792,10.886054226255764,1.1257103307656626,19.187887798838617,368.1750381808199,0.1065002075226111,0.7721374372174044,368.1054267158585,0.97526618271563,0.8826021956023619,5289
349-U1433B,100,37.57844867341096,52.21838596909399,48.81283905806611,54.488750576445895,0.7740703517587938,0.7529648241206028,0.7951758793969848,0.0606666670521116,0.1073346610040743,12.532788689635892,1.1253058842406876,20.28829485118028,411.6149079684283,-0.0849490843173704,0.8731550473644711,411.5363405112861,0.8027167816673103,0.8306566148695118,5239
349-U1433B,250,39.427192257810965,47.61381065023144,46.60075084916268,49.63993025236894,0.8740703517587939,0.8449246231155778,0.90321608040201,0.0358627891727222,0.0771062726280967,10.56900199544252,1.1496514528990631,21.88567323208637,478.9826928216618,0.0602609374104761,0.0587939989290329,478.8885716401287,0.6604986219821448,0.7831385984637378,5089
349-U1433B,500,40.46372486050837,50.94495359173729,48.865567730850046,53.02433945262452,0.8660301507537687,0.8388944723618089,0.8931658291457285,0.021285858656108,0.1072702974085476,11.75898598147882,1.167454891805037,24.279276216796763,589.483253611513,-0.0211739334466089,-0.2345915433448069,589.3614343815871,0.5759892218220779,0.7679068271734527,4839
349-U1433B,1000,44.768613920258126,55.21462383498502,52.91401450852731,58.66553782467157,0.976180904522613,0.9389949748743718,1.0133668341708542,0.0177274047843985,0.0833342036012949,9.870337851473124,1.2164336713169768,27.40160519243539,750.8479671221021,0.1131492116377284,-0.506304880252844,750.6749208056417,0.5223677862107919,0.7709406574183397,4339
353-U1445A,1,4.165082184325108,5.136934694000967,4.922895748417593,5.6720320579594015,1.1472361809045228,1.1211055276381912,1.1733668341708543,1.3735902801795137,0.0333605446744363,2.427334722298794,1.1017220891485076,2.488947108048406,6.194857706662523,-0.1878978522837727,1.8184312087794083,6.192609935361122,,,2756
353-U1445A,3,9.000622403776326,11.100767631324135,9.944437669727872,12.025831600601146,1.0561809045226132,1.033065326633166,1.0792964824120603,1.009731074565322,0.0442644152683799,6.496622548198606,1.1195769116404704,5.680676342624217,32.27008370965045,-0.1528625092588572,2.384044816340296,32.25836617743925,1.50227774417644,1.0,2754
353-U1445A,8,12.7156330301928,18.821785974899967,16.132959407057115,21.89473062386323,0.8720603015075375,0.8348743718592964,0.9092462311557789,0.4882334868935883,0.1130758483373671,10.479245551459822,1.138205141077658,9.014083145164603,81.25369494794062,-0.0248707627336457,2.026933740179139,81.22413740157907,1.243034438953628,0.9834614824970298,2749
353-U1445A,10,14.66986195850018,20.384995679832542,17.726083199854386,23.0439081598107,1.0055276381909546,0.9512562814070352,1.0597989949748745,0.5288197051334637,0.0749573510050004,9.37871007750331,1.1353062370422695,9.648946971515809,93.10217765912408,0.1024049573913536,1.7727805513012438,93.06828534836356,1.1747213589287426,0.981762942018829,2747
