depth,delta_GR
1.6621,0.11939999999999998
1.8145,0.44939999999999997
1.9669,0.061999999999999944
2.1193,0.28759999999999997
2.2717,0.27730000000000005
2.4241,0.5272999999999999
2.5765,0.6371
2.7289,0.6238
2.8813,0.9575
3.0337,1.0078
3.1861,0.5788
3.3385,-0.5909
3.4909,-1.0257
3.6433,-0.5216999999999999
3.7957,-0.42500000000000004
3.9481,-0.5956999999999999
4.1005,-0.7118
4.2529,-0.4001
4.4053,-0.27780000000000005
4.5577,-0.23019999999999996
4.7101,-0.25440000000000007
4.8625,0.08039999999999997
5.0149,1.0063
5.1673,0.38459999999999994
5.3197,-0.4545
5.4721,-0.7951
5.6245,-0.6209
5.7769,-0.8517
5.9293,-0.8714
6.0817,-0.837
6.2341,-0.6221
6.3865,-0.3609
6.5389,-0.2655
6.6913,-0.19059999999999994
6.8437,0.7984
6.9961,1.0956000000000001
7.1485,1.1761
7.3009,1.4264999999999999
7.4533,1.0757
7.6057,0.8897999999999999
7.7581,0.5626
7.9105,0.5203
8.0629,0.29150000000000004
8.2153,0.10570000000000002
8.3677,0.3873000000000001
8.5201,0.46399999999999986
8.6725,0.3541000000000001
8.8249,-0.25329999999999997
8.9773,0.12629999999999997
9.1297,0.015600000000000058
9.2821,0.263
9.4345,-0.06640000000000001
9.5869,0.012699999999999934
9.7393,-0.0413
9.8917,-0.39170000000000005
10.0441,-0.6993999999999999
10.1965,-0.8525
10.3489,-0.683
10.5013,-0.7446999999999999
10.6537,-0.5533
10.8061,0.12050000000000005
10.9585,0.17559999999999998
11.1109,0.06310000000000004
11.2633,-0.03560000000000002
11.4157,-0.24819999999999998
11.5681,-0.241
11.7205,-0.13550000000000004
11.8729,-0.1749
12.0253,-0.24080000000000001
12.1777,-0.3129
12.3301,-1.2929
12.4825,-1.4929999999999999
12.6349,-1.5333
12.7873,-0.968
12.9397,-0.5941000000000001
13.0921,-0.2541
13.2445,-0.2833
13.3969,0.1594
13.5493,-0.049300000000000004
13.7017,0.2711
13.8541,0.399
14.0065,0.888
14.1589,0.8016
14.3113,0.7787999999999999
14.4637,0.2069
14.6161,0.005400000000000002
14.7685,0.0034000000000000002
14.9209,0.19929999999999998
15.0733,0.1013
15.2257,-0.0402
15.3781,-0.1683
15.5305,-0.1671
15.6829,-0.0413
15.8353,0.1021
15.9877,-0.1858
16.1401,0.017
16.2925,0.02659999999999999
16.4449,-0.3253
16.5973,-0.4013
16.7497,-0.7241
16.9021,-0.5016
17.0545,-0.38380000000000003
17.2069,-0.2981
17.3593,-0.6794
17.5117,-0.24930000000000002
17.6641,-0.3781
17.8165,-0.2746
17.9689,-0.3476
18.1213,0.3034
18.2737,0.6813
18.4261,1.1169
18.5785,1.2011
18.7309,1.2608
18.8833,1.4189
19.0357,1.4299
19.1881,1.1278000000000001
19.3405,0.7343999999999999
19.4929,0.6571
19.6453,0.5799
19.7977,0.48219999999999996
19.9501,0.07300000000000001
20.1025,0.013499999999999956
20.2549,-0.748
20.4073,-0.7542
20.5597,-0.8024
20.7121,-0.42300000000000004
20.8645,0.04670000000000002
21.0169,0.5132
21.1693,0.16180000000000005
21.3217,-0.013299999999999979
21.4741,-0.29700000000000004
21.6265,-0.32659999999999995
21.7789,-0.20700000000000002
21.9313,-0.225
22.0837,-0.3012
22.2361,-0.1378
22.3885,-0.5248
22.5409,-0.5395
22.6933,-0.5651
22.8457,-0.3624
22.9981,0.1309
23.1505,0.0821
23.3029,0.305
23.4553,0.2901
23.6077,0.8348
23.7601,0.16399999999999998
23.9125,0.2005
24.0649,-0.05620000000000003
24.2173,-0.2289
24.3697,-0.39349999999999996
24.5221,-0.4094
24.6745,-0.7438
24.8269,-0.2004
24.9793,-0.2031
25.1317,-0.4467
25.2841,-0.39759999999999995
25.4365,-0.1362
25.5889,-0.1671
25.7413,0.3014
25.8937,0.4645
26.0461,0.2175
26.1985,0.2012
26.3509,0.067
26.5033,-0.2444
26.6557,-0.4605
26.8081,-0.10189999999999999
26.9605,-0.2435
27.1129,-0.1016
27.2653,-0.4485
27.4177,-0.7812
27.5701,-0.115
27.7225,0.0892
27.8749,-0.015200000000000005
28.0273,0.1434
28.1797,0.2848
28.3321,0.317
28.4845,0.35619999999999996
28.6369,0.5267
28.7893,0.6064
28.9417,1.1882000000000001
29.0941,0.5902999999999999
29.2465,-0.0858
29.3989,0.0979
29.5513,0.013000000000000005
29.7037,0.025100000000000004
29.8561,-0.0931
30.0085,-0.18869999999999998
30.1609,-0.5662
30.3133,-0.7275
30.4657,-0.8608
30.6181,-0.9761
30.7705,-0.4156
30.9229,-0.3907
31.0753,-0.43010000000000004
31.2277,-0.15839999999999999
31.3801,-0.0684
31.5325,0.11829999999999999
31.6849,0.1729
31.8373,0.5019
31.9897,0.5245
32.1421,0.5224
32.2945,0.611
32.4469,0.39649999999999996
32.5993,0.3866
32.7517,0.1012
32.9041,0.2079
33.0565,0.07150000000000001
33.2089,-0.045899999999999996
33.3613,-0.0666
33.5137,-0.1117
33.6661,-0.0918
33.8185,-0.0595
33.9709,-0.014399999999999996
34.1233,0.13779999999999998
34.2757,0.1053
34.4281,-0.02189999999999999
34.5805,-0.0451
34.7329,-0.010100000000000001
34.8853,-0.1172
35.0377,-0.2434
35.1901,-0.2854
35.3425,-0.17459999999999998
35.4949,-0.2046
35.6473,-0.0706
35.7997,0.0097
35.9521,0.007499999999999993
36.1045,-0.0618
36.2569,0.0887
36.4093,0.0613
36.5617,0.003799999999999991
36.7141,0.259
36.8665,0.1989
37.0189,-0.029699999999999997
37.1713,-0.136
37.3237,0.05579999999999999
37.4761,0.15699999999999997
37.6285,0.4139
37.7809,0.48730000000000007
37.9333,0.3827
38.0857,0.6004999999999999
38.2381,0.5746
38.3905,0.22049999999999997
38.5429,0.381
38.6953,0.7513000000000001
38.8477,0.5925
39.0001,0.2837
39.1525,0.03210000000000002
39.3049,-0.19940000000000002
39.4573,-0.19569999999999999
39.6097,-0.12439999999999996
39.7621,-0.2091
39.9145,0.1402
40.0669,0.4334
40.2193,-0.07720000000000005
40.3717,-0.21099999999999997
40.5241,0.11529999999999996
