depth,delta_GR
15.3704,0.15639999999999998
15.5228,-0.0809
15.6752,0.1505
15.8276,0.2155999999999999
15.98,-0.6385
16.1324,-0.24069999999999991
16.2848,-0.47920000000000007
16.4372,0.13939999999999997
16.5896,0.03959999999999986
16.742,1.3931999999999998
16.8944,0.6305000000000001
17.0468,0.47119999999999995
17.1992,-0.25320000000000004
17.3516,-0.28230000000000005
17.504,0.0821
17.6564,0.09779999999999997
17.8088,0.08100000000000002
17.9612,-0.09829999999999994
18.1136,-0.3589
18.266,-1.0612
18.4184,-2.205
18.5708,-2.973
18.7232,-2.2436
18.8756,-1.3657
19.028,-0.9525
19.1804,-2.019
19.3328,-1.7162000000000002
19.4852,-1.6107
19.6376,-1.4135
19.79,-1.8325
19.9424,-1.9717
20.0948,-1.5845
20.2472,-0.5347999999999999
20.3996,-1.6631
20.552,-1.9731
20.7044,-2.3424
20.8568,-1.6596
21.0092,-2.1388999999999996
21.1616,-2.6882
21.314,-3.9019000000000004
21.4664,-4.1627
21.6188,-2.2784
21.7712,-1.2129
21.9236,-1.4467
22.076,-1.1959
22.2284,-1.5692
22.3808,-1.6476000000000002
22.5332,-1.721
22.6856,-1.1756
22.838,-1.3189000000000002
22.9904,-0.7667999999999999
23.1428,-0.8834000000000001
23.2952,-0.8158
23.4476,-0.9085
23.6,-1.3397000000000001
23.7524,-2.1162
23.9048,-2.3017
24.0572,-1.7227000000000001
24.2096,-1.1908
24.362,-0.3477
24.5144,-0.5109
24.6668,-1.2962
24.8192,-1.1323
24.9716,-1.2079
25.124,-1.0359
25.2764,-1.3331
25.4288,-1.5164000000000002
25.5812,-0.37039999999999995
25.7336,-0.9511000000000001
25.886,-0.6354
26.0384,-0.7299
26.1908,-0.5219
26.3432,0.0443
26.4956,-0.642
26.648,-0.39890000000000003
26.8004,-1.2324
26.9528,-0.22930000000000006
27.1052,0.873
27.2576,0.03159999999999999
27.41,0.6892
27.5624,-0.016999999999999987
27.7148,-0.48629999999999995
27.8672,-1.2534
28.0196,-0.4283
28.172,-0.055400000000000005
28.3244,0.136
28.4768,0.24019999999999997
28.6292,-0.2531
28.7816,-0.5959
28.934,-2.1695
29.0864,-1.7811000000000001
29.2388,-1.5192
29.3912,-0.1526
29.5436,0.34050000000000014
29.696,-1.8395000000000001
29.8484,-1.3979000000000001
30.0008,-1.1855
30.1532,0.08789999999999998
30.3056,0.7148
30.458,-0.2106
30.6104,0.11599999999999999
30.7628,0.36060000000000003
30.9152,0.9204
31.0676,1.4866000000000001
31.22,1.8178999999999998
31.3724,1.758
31.5248,1.2826
31.6772,0.8652
31.8296,0.7654000000000001
31.982,-0.15139999999999987
32.1344,0.3316000000000001
32.2868,0.23929999999999996
32.4392,0.4022
32.5916,0.24900000000000005
32.744,-0.47150000000000003
32.8964,-1.001
33.0488,-1.6076000000000001
33.2012,-1.7326000000000001
33.3536,-1.4425
33.506,-0.9889000000000001
33.6584,-0.07250000000000001
33.8108,-0.4607
33.9632,-0.49219999999999997
34.1156,-1.3424
34.268,-1.9369999999999998
34.4204,-0.9324
34.5728,-0.3968
34.7252,0.016900000000000026
34.8776,0.4043
35.03,0.2741
35.1824,0.4229
35.3348,0.032999999999999974
35.4872,0.06640000000000001
35.6396,0.6507999999999999
35.792,1.7850000000000001
35.9444,1.9504000000000001
36.0968,1.0872
36.2492,0.7274
36.4016,0.32560000000000006
36.554,-0.2055
36.7064,-0.2553
36.8588,-0.0799
37.0112,-0.3961
37.1636,0.35150000000000003
37.316,0.6512
37.4684,1.03
37.6208,0.4769
37.7732,0.1387
37.9256,-0.07250000000000001
38.078,0.6286
38.2304,0.5184
38.3828,1.5950000000000002
38.5352,1.6587
38.6876,1.3538000000000001
38.84,1.062
38.9924,1.0592000000000001
39.1448,1.4039
39.2972,2.0665
39.4496,2.3360000000000003
39.602,2.0496
39.7544,2.0494
39.9068,3.1018
40.0592,3.1841
40.2116,2.8856
40.364,2.6573
40.5164,3.3007
40.6688,4.4094
40.8212,3.3557
40.9736,2.6749
41.126,2.2582
41.2784,2.2815
41.4308,2.6707
41.5832,2.0099
41.7356,2.0106
41.888,1.4919
42.0404,1.7597
42.1928,1.4029999999999998
42.3452,0.6397
42.4976,0.9089
42.65,-0.4568
42.8024,-0.1739
42.9548,0.48679999999999995
