depth,delta_GR
152.438,61.971900000000005
152.5904,58.3481
152.7428,54.7853
152.8952,50.2193
153.0476,48.7497
153.2,48.9521
153.3524,52.2089
153.5048,51.552099999999996
153.6572,52.4079
153.8096,52.4391
153.962,51.9432
154.1144,54.908100000000005
154.2668,53.5524
154.4192,55.0989
154.5716,49.1494
154.724,47.4527
154.8764,45.6173
155.0288,43.5318
155.1812,42.392
155.3336,39.3885
155.486,42.3857
155.6384,44.4102
155.7908,48.0438
155.9432,45.190200000000004
156.0956,45.2658
156.248,45.415499999999994
156.4004,47.3999
156.5528,50.5264
156.7052,48.418299999999995
156.8576,51.7684
157.01,51.442
157.1624,51.8055
157.3148,53.7493
157.4672,51.5451
157.6196,53.0021
157.772,52.749100000000006
157.9244,53.7534
158.0768,52.7318
158.2292,54.888099999999994
158.3816,57.8426
158.534,55.5796
158.6864,56.0488
158.8388,57.69370000000001
158.9912,57.2834
159.1436,59.8915
159.296,65.17869999999999
159.4484,60.95
159.6008,58.305099999999996
159.7532,52.62
159.9056,48.8843
160.058,50.977900000000005
160.2104,53.2452
160.3628,55.3194
160.5152,53.4077
160.6676,53.516799999999996
160.82,51.0679
160.9724,53.649
161.1248,55.7593
161.2772,57.453399999999995
161.4296,57.3611
161.582,57.5459
161.7344,54.089
161.8868,50.9684
162.0392,50.3067
162.1916,50.143499999999996
162.344,55.86150000000001
162.4964,60.286100000000005
162.6488,62.1532
162.8012,59.492999999999995
162.9536,56.9002
163.106,54.1068
163.2584,50.9664
163.4108,52.0303
163.5632,52.759299999999996
163.7156,53.6378
163.868,56.435700000000004
164.0204,58.0538
164.1728,57.6311
164.3252,56.7601
164.4776,49.8491
164.63,49.0682
164.7824,48.489000000000004
164.9348,55.2035
165.0872,55.5786
165.2396,55.1822
165.392,53.9206
165.5444,51.5739
165.6968,49.7082
165.8492,45.841899999999995
166.0016,46.7171
166.154,49.927699999999994
166.3064,50.831300000000006
166.4588,49.3288
166.6112,47.6651
166.7636,47.5801
166.916,46.611200000000004
167.0684,49.2338
167.2208,47.02
167.3732,47.3162
167.5256,49.2701
167.678,49.702600000000004
167.8304,49.0701
167.9828,52.809400000000004
168.1352,50.5396
168.2876,47.8467
