depth,delta_GR
1.524,1.0773000000000001
1.6764,-0.21189999999999998
1.8288,-1.6949999999999998
1.9812,-1.9334000000000002
2.1336,-2.2853999999999997
2.286,-2.327
2.4384,-2.6571999999999996
2.5908,-1.9157999999999997
2.7432,-1.7786
2.8956,-1.702
3.048,-1.6591
3.2004,-1.4472999999999998
3.3528,-0.6575
3.5052,-0.07019999999999982
3.6576,0.051000000000000156
3.81,0.1735
3.9624,-0.4478
4.1148,-1.0393000000000001
4.2672,-1.2171
4.4196,-0.6339999999999999
4.572,-0.28290000000000015
4.7244,-0.5544
4.8768,-0.7923999999999999
5.0292,-1.2841
5.1816,-1.1447
5.334,-0.6833
5.4864,-0.5726
5.6388,0.14280000000000004
5.7912,0.33129999999999993
5.9436,0.13449999999999995
6.096,0.23660000000000014
6.2484,0.8938999999999999
6.4008,1.4019
6.5532,1.5284
6.7056,2.2148000000000003
6.858,1.9872
7.0104,3.1409
7.1628,3.2703000000000007
7.3152,3.3343000000000003
7.4676,3.7662
7.62,3.1426999999999996
7.7724,2.6290000000000004
7.9248,2.1212000000000004
8.0772,2.2246
8.2296,1.7098999999999998
8.382,1.7926000000000002
8.5344,1.3476
8.6868,0.5565999999999995
8.8392,0.2786999999999997
8.9916,-0.1988000000000003
9.144,-0.7067999999999999
9.2964,-0.9069000000000003
9.4488,-0.9340000000000002
9.6012,-1.467
9.7536,-1.8982
9.906,-2.3935000000000004
10.0584,-3.3788
10.2108,-3.4001
10.3632,-3.2912999999999997
10.5156,-2.9143
10.668,-1.8517
10.8204,-0.6844000000000001
10.9728,-0.1339999999999999
11.1252,0.45520000000000005
11.2776,0.6938000000000004
11.43,0.9273000000000002
11.5824,0.6807000000000001
11.7348,1.0302
11.8872,1.3699000000000001
12.0396,1.1933999999999998
12.192,0.9509000000000001
12.3444,-0.013499999999999623
12.4968,-1.2869000000000002
12.6492,-1.9863000000000002
12.8016,-1.8845000000000003
12.954,-1.7564000000000002
13.1064,-0.7024000000000001
13.2588,-0.4215
13.4112,-0.6407000000000003
13.5636,-0.9974999999999998
13.716,-1.0861
13.8684,-1.4245
14.0208,-0.6520000000000001
14.1732,0.0011999999999998678
14.3256,0.3137000000000001
14.478,-0.053099999999999925
14.6304,-0.33609999999999984
14.7828,-0.7053
14.9352,-0.5834999999999999
15.0876,-0.18640000000000012
15.24,0.4153000000000002
15.3924,1.5753
15.5448,1.9288000000000003
15.6972,2.1986
15.8496,1.8763999999999998
16.002,2.1975
16.1544,2.5037999999999996
16.3068,2.8987999999999996
16.4592,2.5254
16.6116,1.899
16.764,1.0793
16.9164,-0.23360000000000003
17.0688,-1.1720000000000002
17.2212,-1.9537
17.3736,-1.7748
17.526,-1.4498000000000002
17.6784,-1.4197999999999995
17.8308,-2.175
17.9832,-2.8756
18.1356,-2.7931999999999997
18.288,-2.7618
18.4404,-2.1242
18.5928,-1.6332
18.7452,-1.4363000000000001
18.8976,-1.7315
19.05,-1.8953999999999998
19.2024,-2.0716
19.3548,-1.198
19.5072,-0.0726
19.6596,0.6331
19.812,0.8024
19.9644,0.36530000000000007
20.1168,0.5886000000000001
20.2692,0.9971
20.4216,1.4325999999999999
20.574,1.6702000000000001
20.7264,1.7873999999999999
20.8788,1.8929999999999998
21.0312,1.6002
21.1836,0.8828999999999998
21.336,1.3757000000000001
21.4884,1.7402
21.6408,1.9489999999999998
21.7932,2.0517
21.9456,2.4033000000000007
22.098,2.044
22.2504,1.3191000000000002
22.4028,0.7505999999999999
22.5552,0.5262000000000002
22.7076,1.1702000000000004
22.86,1.1727999999999996
23.0124,0.4891000000000001
23.1648,0.35630000000000006
23.3172,0.6902000000000004
23.4696,-0.1600000000000006
23.622,-0.33110000000000017
23.7744,-0.04510000000000014
23.9268,-0.5491999999999999
24.0792,-0.5003000000000002
24.2316,-0.33440000000000003
24.384,-0.7951999999999999
24.5364,-0.44720000000000004
24.6888,-0.5760000000000001
24.8412,-1.4164000000000003
24.9936,-1.1317
25.146,-0.8496000000000001
25.2984,-0.8609999999999998
25.4508,-0.22209999999999974
25.6032,0.005799999999999805
25.7556,-0.08450000000000024
25.908,-0.2094999999999998
26.0604,-0.1120000000000001
26.2128,0.3904000000000001
26.3652,0.4144000000000001
26.5176,0.6774
26.67,-0.20040000000000013
26.8224,-0.24590000000000023
26.9748,-0.47060000000000013
27.1272,-0.6307999999999998
27.2796,-1.228
27.432,-0.9767000000000001
27.5844,-1.0985
27.7368,-1.2449
27.8892,-1.4873
28.0416,-1.7937999999999998
28.194,-1.2985999999999998
28.3464,-0.46640000000000015
28.4988,0.13839999999999986
28.6512,0.7105000000000001
28.8036,0.6399999999999999
28.956,0.6092
29.1084,0.5777999999999999
29.2608,0.21229999999999993
29.4132,0.6117000000000001
29.5656,0.4052
29.718,0.7015
29.8704,0.17360000000000042
30.0228,-0.31289999999999996
30.1752,-0.7457000000000003
30.3276,-0.4674999999999998
30.48,-0.4434
30.6324,0.2359
30.7848,0.11850000000000005
30.9372,0.11529999999999996
31.0896,-0.03000000000000025
31.242,-0.0371999999999999
31.3944,0.12379999999999969
31.5468,0.02839999999999998
31.6992,0.13750000000000018
31.8516,0.047499999999999876
32.004,0.05929999999999991
32.1564,-0.17899999999999983
32.3088,0.0867
32.4612,-0.011600000000000055
32.6136,0.7179000000000002
32.766,0.8609999999999998
32.9184,0.7035
33.0708,1.1982
33.2232,1.3371999999999997
33.3756,1.4773
33.528,1.4578000000000002
33.6804,1.4849999999999999
33.8328,1.2311999999999999
33.9852,1.1012
34.1376,1.1126
34.29,0.7354000000000003
34.4424,1.0902000000000003
34.5948,0.9889000000000001
34.7472,0.5786000000000002
34.8996,0.15690000000000026
