depth,delta_GR
38.1,20.584
38.2524,19.7007
38.4048,19.1507
38.5572,19.7958
38.7096,21.852800000000002
38.862,24.2152
39.0144,25.4103
39.1668,24.851399999999998
39.3192,21.896
39.4716,19.1281
39.624,17.7377
39.7764,17.6038
39.9288,17.4786
40.0812,16.7287
40.2336,15.025500000000001
40.386,13.003599999999999
40.5384,12.009500000000001
40.6908,11.8742
40.8432,11.884699999999999
40.9956,12.107
41.148,12.440299999999999
41.3004,12.782300000000001
41.4528,13.7612
41.6052,14.7748
41.7576,15.463899999999999
41.91,16.2882
42.0624,16.5158
42.2148,15.421899999999999
42.3672,14.221499999999999
42.5196,14.4183
42.672,14.805
42.8244,14.6018
42.9768,14.3779
43.1292,14.422699999999999
43.2816,14.005700000000001
43.434,12.9543
43.5864,11.5519
43.7388,10.5194
43.8912,10.860199999999999
44.0436,11.339300000000001
44.196,11.052
44.3484,10.7155
44.5008,10.6929
44.6532,10.626399999999999
44.8056,10.1652
44.958,9.888300000000001
45.1104,10.3189
45.2628,11.0222
45.4152,11.6953
45.5676,11.642999999999999
45.72,11.4178
45.8724,12.0162
46.0248,13.298199999999998
46.1772,14.711699999999999
46.3296,15.845200000000002
46.482,15.9709
46.6344,15.500699999999998
46.7868,14.732800000000001
46.9392,13.217300000000002
47.0916,11.3233
47.244,10.863000000000001
47.3964,11.6846
47.5488,11.966099999999999
47.7012,12.059099999999997
47.8536,12.4664
48.006,14.175
48.1584,15.3157
48.3108,15.2796
48.4632,15.0029
48.6156,15.0127
48.768,14.982
48.9204,14.1984
49.0728,13.005700000000001
49.2252,12.568299999999999
49.3776,13.941499999999998
49.53,16.5254
49.6824,18.204299999999996
49.8348,19.1246
49.9872,18.836399999999998
50.1396,17.4499
50.292,16.3502
50.4444,15.6523
50.5968,15.3549
50.7492,15.5244
50.9016,15.893800000000002
51.054,16.061500000000002
51.2064,15.6369
51.3588,15.0426
51.5112,14.5592
51.6636,14.4188
51.816,15.07
51.9684,16.258
52.1208,16.807699999999997
52.2732,16.8985
52.4256,17.4254
52.578,18.398300000000003
52.7304,18.9625
52.8828,18.4483
53.0352,18.3657
53.1876,17.9603
53.34,18.0048
53.4924,18.7264
53.6448,18.0074
53.7972,15.889199999999999
53.9496,14.136399999999998
54.102,13.134899999999998
54.2544,12.9194
54.4068,13.0854
54.5592,13.258700000000001
54.7116,12.4696
54.864,12.357199999999999
55.0164,13.893999999999998
55.1688,14.909600000000001
55.3212,16.903000000000002
55.4736,17.967399999999998
55.626,17.492800000000003
55.7784,17.489
55.9308,18.5052
56.0832,19.71
56.2356,21.288
56.388,22.7903
56.5404,23.4709
56.6928,22.9586
56.8452,22.6431
56.9976,24.3575
57.15,27.0039
57.3024,29.4477
57.4548,29.3674
57.6072,27.7626
57.7596,25.1
57.912,23.319000000000003
58.0644,21.9515
58.2168,20.505499999999998
58.3692,19.6783
58.5216,20.9138
58.674,20.700400000000002
58.8264,19.826099999999997
58.9788,20.7739
59.1312,21.1186
59.2836,20.6906
59.436,21.305500000000002
59.5884,22.5649
59.7408,23.5138
59.8932,24.2333
60.0456,24.2759
60.198,23.561799999999998
60.3504,22.8877
60.5028,22.427
60.6552,21.700200000000002
60.8076,21.3358
60.96,21.650299999999998
61.1124,21.0868
61.2648,20.9543
61.4172,20.8798
61.5696,19.8368
61.722,18.2958
61.8744,18.650100000000002
62.0268,20.6147
62.1792,22.1637
62.3316,22.474899999999998
62.484,21.3072
62.6364,20.2727
62.7888,19.6434
62.9412,21.1999
63.0936,22.6085
63.246,24.3656
63.3984,25.4433
63.5508,24.6094
63.7032,23.92
63.8556,24.546400000000002
64.008,26.639799999999997
64.1604,29.160999999999998
64.3128,30.126500000000004
64.4652,29.5245
64.6176,27.1111
64.77,24.8686
64.9224,23.6079
65.0748,20.679499999999997
65.2272,16.0996
65.3796,12.287199999999999
65.532,10.304399999999998
65.6844,9.186700000000002
65.8368,6.996500000000001
65.9892,4.511499999999998
66.1416,2.8781999999999996
66.294,2.2269999999999968
66.4464,0.5150000000000006
66.5988,-1.4593999999999987
66.7512,-0.7530000000000001
66.9036,1.2986999999999966
67.056,3.372499999999995
67.2084,2.9638000000000027
67.3608,1.5718999999999994
67.5132,2.4678000000000004
67.6656,3.494099999999996
67.818,3.2973999999999997
67.9704,3.5043000000000006
68.1228,2.6599000000000004
68.2752,3.7088
68.4276,4.150500000000001
68.58,5.750700000000002
68.7324,7.215600000000002
68.8848,5.5294000000000025
69.0372,3.852399999999996
69.1896,-0.3742999999999981
69.342,-3.8464000000000027
69.4944,-4.862099999999998
69.6468,-5.1762000000000015
69.7992,-3.2668999999999997
69.9516,-3.1263000000000005
70.104,-3.801199999999998
70.2564,-5.420300000000001
70.4088,-5.6519999999999975
70.5612,-3.163499999999999
70.7136,-2.8034
70.866,-2.524199999999997
71.0184,-0.6248000000000005
71.1708,1.9166999999999987
71.3232,4.613399999999999
71.4756,4.148999999999997
71.628,4.670000000000002
71.7804,6.2044999999999995
71.9328,7.074100000000001
72.0852,5.1328
72.2376,2.8492999999999995
72.39,1.9884000000000022
72.5424,2.1417
